Index,Keyword,Tweets
84,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
85,suicide rate,
86,suicide rate,Suicide attempts rose 73 percent 1991 2017 black adolescents sexes injuries attempted suicid
87,suicide rate,The transgender suicide rate virtually
88,suicide rate,The report also found suicide attempts rose 73 percent 1991 2017 black adolescents sexes inju
89,suicide rate,AndreaHorwath The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejec
90,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
91,suicide rate,China 's suicide rate among highest world Guns banned https//
92,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposal
93,suicide rate,The suicide rate among First Nations youth 3X higher non-Indigenous yet Ford govt rejected proposa
94,suicide rate,Oh yes trans people would committing suicide rate
95,suicide rate,Suicide attempts rose 73 percent 1991 2017 black adolescents sexes injuries attempted suicid
96,suicide rate,Suicide attempts rose 73 percent 1991 2017 black adolescents sexes injuries attempted suicid
97,suicide rate,Suicide attempts rose 73 percent 1991 2017 black adolescents sexes injuries attempted suicid
98,suicide rate,Suicide attempts rose 73 percent 1991 2017 black adolescents sexes injuries attempted suicid
99,suicide rate,China 's suicide rate among highest world Guns banned
